,EC10 Mixture,Regression Model,a,b,r
1,Mix 1,Gompertz,97.3205,152.7023,338.246
2,Mix 2,Sigmoid,97.9779,59.022,304.1684
3,Mix 3,Logistic,72084998.12,-1.0557,609575146.3
4,Mix 4,Sigmoid,98.52,107.4,409.5
5,Mix 5,Gompertz,103,262,294
6,Mix 6,Sigmoid,101,56.4,237
7,Mix 7,Sigmoid,101,100,382
8,Mix 8,Sigmoid,97.1,54.9,363
9,Mix 9,Sigmoid,99.34,79.38,505.7
10,Mix 10,Logistic,103,4.23,379
11,Mix 11,Sigmoid,98.4,105,491
12,Mix 12,Gompertz,103,72.1,187
13,Mix 13,Sigmoid,102,66.7,302
14,Mix 14,Sigmoid,99.6,26.3,299
15,Mix 15,Hill,98.6,8.7,340
16,Mix 16,Hill,6510000,1.06,63500000
17,Mix 17,Sigmoid,104,148,572
18,Mix 18,Sigmoid,129,367,1090
19,Mix 19,Gompertz,102,94.8,400
20,Mix 20,Gompertz,105,218.8,691.6
21,Mix 21,Sigmoid,102,100.9,344.4
22,Mix 22,Sigmoid,100,60.8,357
23,Mix 23,Gompertz,101,118,289
24,Mix 24,Sigmoid,99.2,47.6,397
25,Mix 25,Sigmoid,98.5,51.9,336
26,Mix 26,Hill,102,7.28,472
27,Mix 27,Sigmoid,98.67,48.33,401.5
28,Mix 28,Chapman,99.6,0.00809,34.5
29,Mix 29,Hill,100.4,8.292,349.1
30,Mix 30,Chapman,101,0.0338,533
31,Mix 31,Chapman,101,0.0115,14.1
32,Mix 32,Sigmoid,101,43.2,312
33,Mix 33,Sigmoid,97.2,29.8,337
34,Mix 34,Sigmoid,99.3,21.9,206
35,Mix 35,Chapman,101.3,0.005395,22.4
36,Mix 36,Chapman,98.57,0.01053,463.7
37,Mix 37,Sigmoid,99.6,55,235
38,Mix 38,Sigmoid,100,35,249
39,Mix 39,Sigmoid,101,71.8,318
40,Mix 40,Sigmoid,98.9,41.5,300
41,Mix 41,Sigmoid,98.48,58.61,359.9
42,Mix 42,Chapman,100.3,0.02951,1345
43,Mix 43,Hill,99.2,8.517,284.5
44,Mix 44,Chapman,98.59,0.01819,182.2
45,Mix 45,Chapman,98.87,0.0352,18180
46,Mix 46,Sigmoid,101.6,79.8,428.7
47,Mix 47,Chapman,102.2,0.004699,24.34
48,Mix 48,Sigmoid,99.74,37.17,262.7
49,Mix 49,Logistic,99.0244,27.6781,285.685
50,Mix 50,Hill,97.83,7.204,467.5
